ano_calendrio,tipo_de_formulrio,faixa_de_rendimento,quantidade_de_declarantes,rendimentos_tributveis,rendimentos_sujeitos_a_tributao_exclusiva,rendimentos_isentos,deduo_previdenciria_total,dedues_previdncia_oficial,dedues_previdencirias_rra,dedues_previdncia_privada_e_fapi,dedues_com_dependentes,dedues_com_instruo,dedues_com_despesas_mdicas,deduo_de_livro_caixa,dedues__com_penso_alimentcia_total,dedues_com_penso_alimentcia_judicial,dedues_com_penso_alimentcia_escritural,dedues_com_penso_alimentcia_rra,desconto_padro,base_de_clculo_rtl,imposto_devido,deduo_de_incentivo,imposto_devido_1,imposto_devido_rra,imposto_devido_total,imposto_pago,imposto_a_pagar,imposto_a_restituir,dvidas___e_nus,doaes_e_heranas_recebidas,bens_e_direitos,previdncia_complementar_vgbl,valores_pagos_com_previdncia_complementar_pgbl,valores_pagos_com_previdncia_complementar_de_natureza_pblica,valores_pagos_com_fapi,despesas_com_instruo,despesas_mdicas,penso_alimentcia_judicial,despesas_com_penso_alimentcia_escritural,despesas_com_profissionais_liberais,despesas_com_arrendamento_rural,outras_despesas,doaes_efetuadas,rendimentos_isentos_id
2020,Completo + Simplificado,Até 22.847.76,11144353,1832899579,63558625,4470583323,5593126512,5350094853,629989598,2367317631,4730766908,198199549,1297123395,1483572571,199825304,175379263,2394969765,496343388,2171231181,1328187567,374246493,25239,374221254,2286957141,2311651162,2413865187,1876418518,2207117761,2519493005,4263692141,3389622265,2381803909,8049941307,1486935326,2340282832,6581706328,2325778986,2922013186,4357174025,2635953317,1511999025,568408484,1724421942,95
2020,Completo + Simplificado,De 22.847.77 até 33.919.80,6879351,2563006506,3094742155,9998394652,8279331766,7893374313,583965075,3801178016,6174121204,3337177455,1158077707,1268627038,1857257152,1673141924,1818644328,225079453,3216529549,1916381388,2587809188,19923666,2587609951,5947161425,2646848548,5712414109,4461249951,3535754623,8065480759,7992269448,9812412974,5926736699,4428556626,900859924,1764944225,6499313257,1379647176,1728892572,1897272356,8866908146,3194883339,1974546017,3200278408,95
2020,Completo + Simplificado,De 33.919.81 até 45.012.60,3924467,203281319,2546905975,72709778,7270546779,6821164535,43047196,4450775244,3783646872,2586044515,9160539959,10389465,1486179554,1338575658,1461325322,147136412,249944637,1529609913,6239156836,96670101,6238190135,5861318885,6296317331,8888397595,1092890442,3733309242,6349926045,6270095103,7706568233,546234431,4882491891,117661574,1856004471,5524402844,1146264514,1380714319,1509451942,7445495562,3576696929,1646937028,3010361072,95
2020,Completo + Simplificado,De 45.012.61 até 55.976.16,2440361,1615962939,2071393255,57647976,6075520381,5606116746,342585089,4659777843,24258086,1970134657,7171353643,8842454257,1188460433,1067887737,1195714466,100124905,1965336783,1222274228,8875820326,18679754,8873952351,587776639,8932237015,1061839677,1520751527,3269651864,520982379,4980043796,6125335617,4366166793,5265704451,1353105532,1826629807,4566254342,935776264,1104638197,124078748,6441010686,3520775314,1371070821,2343749104,95
2020,Completo + Simplificado,Acima de 55.976.16,7246305,1170964001,1905886778,4186636053,7140661022,564760398,3221697,1489835345,1005801038,9072256578,5121898678,139757901,9137888655,8073374253,105978155,473285204,5080837616,9552861324,1871299652,3096236223,1868203416,6365142327,1874538231,1770078281,2218396645,1352529651,3934835992,4844464712,5380249138,4836750516,1375766389,8962239056,31500259,2979463109,5898624726,8179739056,1076709316,4685396285,2556043295,1379376073,3366807998,95
2020,Completo,Até 22.847.76,4294472,7472833856,3595055646,2182524048,5593126512,5350094853,629989598,2367317631,4730766908,198199549,1297123395,1483572571,199825304,175379263,2394969765,496343388,5080837616,4596944916,24696542,25239,246940181,1256690409,1281384429,1513431973,1243178781,1397725318,1202867523,2165874527,1684520.21,1168482155,5612515661,159003855,1604304938,5213871784,1786760881,2506185433,3712362263,1493727625,8638305032,3541748962,1070603413,95
2020,Completo,De 22.847.77 até 33.919.80,2261006,954740913,1251345354,4106995282,8279331766,7893374313,583965075,3801178016,6174121204,3337177455,1158077707,1268627038,1857257152,1673141924,1818644328,225079453,5080837616,6297687496,8519047707,19923666,8517055341,2825485302,8799603871,2574294071,1077513451,1802085029,3233773511,3118032363,3677500971,2638832592,342887308,352632854,1379799244,5836588865,1167618496,1678048038,1822569962,3705697313,1438898704,9101841124,1296490664,95
2020,Completo,De 33.919.81 até 45.012.60,1358971,7830895289,1064809372,3047638234,7270546779,6821164535,43047196,4450775244,3783646872,2586044515,9160539959,10389465,1486179554,1338575658,1461325322,147136412,5080837616,5298308885,2164775259,96670101,2163808558,2279756249,218660612,3831724886,261721223,1906839989,2570084217,238823739,3176365158,1993990326,3843947593,552661801,1433510675,4847916117,9251086262,1342041535,1464987487,3004749988,1123722459,7240946153,1232285662,95
2020,Completo,De 45.012.61 até 55.976.16,870663,6332942536,8787102554,2532442626,6075520381,5606116746,342585089,4659777843,24258086,1970134657,7171353643,8842454257,1188460433,1067887737,1195714466,100124905,5080837616,4361392219,3169602157,18679754,3167734182,2049188525,3188226067,4410743194,3814331273,1603950254,2177799228,2011083134,2551828011,1769266154,4224455778,671824906,1383170906,3945367749,7251171669,1071174139,1198493341,2520019297,1572913479,6213208432,9487397524,95
2020,Completo,Acima de 55.976.16,4118428,8113227181,1335402612,2607588353,7140661022,564760398,3221697,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,5080837616,6464532259,134828912,3096236223,1345192884,4890886159,1350083771,1334328262,1170458762,1012903674,2543746997,3247740333,3574484393,3288102644,1317076744,8343380559,2898290382,2768382137,5268141241,8110766961,106581498,3075072721,1130262741,9715917653,2271839136,95
2020,Simplificado,Até 22.847.76,6849881,1085616193,2760806854,2288059275,7140661022,564760398,3221697,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,2171231181,8684930752,127281073,3096236223,127281073,1030266732,1030266733,9004332137,633239737,8093924429,1316625482,2097817614,1705102056,1213321754,2437425646,1327931471,7359778935,1367834543,5390181054,4158277532,6448117616,1142225692,6481685214,2142335878,653818529,95
2020,Simplificado,De 22.847.77 até 33.919.80,4618345,1608265593,1843396801,589139937,7140661022,564760398,3221697,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,3216529549,1286612638,1735904417,3096236223,1735904417,3121676123,1766888161,3138120038,3383736501,1733669594,4831707248,4874237084,6134912003,3287904107,9996835455,54822707,3851449806,662724392,21202868,5084453461,747023941,5161210833,1755984635,1064361905,1903787744,95
2020,Simplificado,De 33.919.81 até 45.012.60,2565496,1249723661,1482096603,4223339566,7140661022,564760398,3221697,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,249944637,9997790243,4074381577,3096236223,4074381577,3581562636,4109711211,5056672709,8311692194,1826469253,3779841828,3881857713,4530203075,3468353984,1038544299,623953939,4224937959,676486727,2211558879,386727837,444644556,4440745574,245297447,9228424125,1778075411,95
2020,Simplificado,De 45.012.61 até 55.976.16,1569698,9826686849,1192682999,3232354974,7140661022,564760398,3221697,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1965336783,7861350066,5706218169,3096236223,5706218169,3828577865,5744010948,6207653581,1139318399,1665701611,3032024562,2968960662,3573507606,2596900639,1041248673,681280626,4434589005,6208865938,2106590971,3346405817,422941392,392099139,1947861835,7497499775,1395009351,95
2020,Simplificado,Acima de 55.976.16,3127877,3596412826,5704841653,157904.77,7140661022,564760398,3221697,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,1489835345,5080837616,3088329065,5230105318,3096236223,5230105318,1474256169,52445446,4357500194,1047937882,3396259776,1391088995,1596724379,1805764745,1548647871,5868964515,6188584969,2517355181,2110809717,6304834852,6897209457,1089433634,1610323564,1425780555,4077843073,1094968862,95
2019,Completo + Simplificado,Até 22.847.76,10691519,1897008579,6421128997,4393398261,5974004915,5702826628,747559289,2637026937,6204425825,2378648731,1286703421,1571298301,2066865181,1819366898,2400250652,747321776,2230861908,1363299617,363425438,"0,08715",363416723,228772311,2318751898,2506200938,1933149955,2300401137,2135767299,6591723413,3251729927,2307099705,8039038219,133404205,2423167169,7384981027,2244769475,2921815786,4376686047,2519476615,1220516021,5018185908,1377553575,95
2019,Completo + Simplificado,De 22.847.77 até 33.919.80,6778426,2554788906,3087065859,9169273169,9953947389,9489838761,715254599,4569560822,848774106,4110690156,1204217672,1380272143,1922872187,1734816312,1851027326,295314207,2919663517,1883845558,2517918139,20902637,2517709113,6125214068,2578755192,5740337348,4385171283,362496313,7393953088,6922420163,9385515873,6381626487,4914126296,903305916,1979542914,8053416678,1409006502,1784024235,1922490831,8774036841,3465708271,1953707225,2857088218,95
2019,Completo + Simplificado,De 33.919.81 até 45.012.60,3781539,1978117871,2537012723,6597374703,8030226042,7509390422,487131876,5159643005,4903427597,3040405984,9333291687,1097953795,1488375745,1341061676,1453718026,194226676,225108844,1474072219,6015625674,91884644,6014706827,5617815359,6070714632,8774531533,1029480126,3783635611,7944953017,5698039614,7225754002,4958641442,5505463482,1120130051,2034553695,6596074848,1150526976,1379957536,1545957676,7160207014,2956956055,1695221432,24017952,95
2019,Completo + Simplificado,De 45.012.61 até 55.976.16,2345622,156281223,2120978609,5546342281,6151640526,5640574257,433353544,5067327334,2997365573,2226597535,7143910768,9090465647,117266679,1054830217,1165156483,132092525,1816286675,1175171285,8540396412,167511509,8538721297,5490111237,8593345271,1044513493,1420137925,3337476973,4869333659,4366013723,6741231115,4626550208,5387449071,1291053433,1957816646,5251381982,9246552801,1091059686,120623402,5980578816,2626232768,1383223364,1932630067,95
2019,Completo + Simplificado,Acima de 55.976.16,6901398,1113928936,1925164367,3845236967,6271019073,4791471152,4101941493,147544598,1109080569,9635431769,5032787824,1498593341,8983941542,7920373119,1057602135,59662882,4813003992,9080647147,1777469787,2341458489,1775128328,6898748917,1782014929,1712373641,1919345397,1379571189,3399282554,4276452824,4841237696,468779891,1304198165,7600564004,3295050669,3249235193,5823995227,8025361721,1075642099,4703606437,1899261514,1358870039,3262204163,95
2019,Completo,Até 22.847.76,4150955,7815770816,380087571,2090655005,5974004915,5702826628,747559289,2637026937,6204425825,2378648731,1286703421,1571298301,2066865181,1819366898,2400250652,747321776,4813003992,4709543099,310296574,"0,08715",310287859,1381174193,141220298,1619466184,1181677355,1490062659,1025532138,2660122011,1724375229,1272592886,5775913013,151942478,1713082158,6027124886,1746468286,2535749521,3700227334,1465218347,7318605787,3216441176,8729448323,95
2019,Completo,De 22.847.77 até 33.919.80,2576811,1094956425,1420643891,3821678115,9953947389,9489838761,715254599,4569560822,848774106,4110690156,1204217672,1380272143,1922872187,1734816312,1851027326,295314207,4813003992,7159794289,9585370354,20902637,958328009,3064472415,9889727332,293775803,1137557259,2062541022,3025375997,2833285468,388734918,2761533339,3996663202,333697621,1589454916,7437233063,1214628465,1738699622,1856686666,3906911298,1218037291,1012873491,1214699158,95
2019,Completo,De 33.919.81 até 45.012.60,1472673,8525732249,1134492326,2957228197,8030226042,7509390422,487131876,5159643005,4903427597,3040405984,9333291687,1097953795,1488375745,1341061676,1453718026,194226676,4813003992,5736364164,233908677,91884644,2338167923,2602173832,2364189662,4170505897,2763198975,2082636133,4567417291,2440627533,2886970162,2157127902,4494469239,502558279,1600489555,5921734844,943201178,1344340477,1456660611,315191502,1393478039,8085837282,1238737234,95
2019,Completo,De 45.012.61 até 55.976.16,896560,654668622,9728823321,2433130507,6151640526,5640574257,433353544,5067327334,2997365573,2226597535,7143910768,9090465647,117266679,1054830217,1165156483,132092525,4813003992,4486563444,3254968949,167511509,3253293834,2012657214,3273420406,4586290784,3899475903,1702817968,2015875005,1724261517,2686564451,1957464685,4357902979,599088643,1497965217,4588340506,7229490257,1057922044,1168295302,2398369415,1255864476,6372564684,8206972597,95
2019,Completo,Acima de 55.976.16,3941678,7732458398,1348293617,2450247622,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,4813003992,6155116584,1281704337,2341458489,1279362879,5294199941,1284657079,1281438422,1040835681,1008649106,2223844651,2781795147,3263618267,3169984435,1243060414,6970762262,3025584178,3012100787,5188535549,7955219364,1063507791,3080941551,9708502844,9653077424,210814494,95
2019,Simplificado,Até 22.847.76,6540564,1115431498,2620253287,2302743257,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,2230861908,8923453071,53128864,2341458489,53128864,9065489175,9065489175,8867347542,7514726,8103384772,111023516,3931601402,1527354698,1034506819,2263125206,1182099572,7100850109,135785614,4983011892,3860662652,6764587132,1054258268,4886554419,1801744732,5046087429,95
2019,Simplificado,De 22.847.77 até 33.919.80,4201615,1459832481,1666421968,5347595054,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,2919663517,1167866129,1559381104,2341458489,1559381104,3060741653,1589782459,2802579318,3247614023,1562422107,4368577091,4089134695,5498166693,3620093148,9174630947,569608295,3900879977,6161836147,1943780367,4532461241,658041652,4867125542,224767098,9408337333,164238906,95
2019,Simplificado,De 33.919.81 até 45.012.60,2308866,1125544646,1402520397,3640146506,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,225108844,9004358022,3676538904,2341458489,3676538904,3015641527,370652497,4604025636,7531602288,1700999478,3377535726,3257412081,433878384,2801513541,1010994243,617571772,4340641398,6743400033,2073257981,356170598,892970655,4008291994,1563478016,8866377036,1163057966,95
2019,Simplificado,De 45.012.61 até 55.976.16,1449062,9081436084,1148096277,3113211774,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,1816286675,7265149409,5285427463,2341458489,5285427463,3477454023,5319924865,5858844145,1030190334,1634659005,2853458654,2641752206,4054666663,2669085524,1029546091,69196479,459851429,6630414758,2017062544,3313764234,379387185,3582209401,1370368292,7459668961,1111932807,95
2019,Simplificado,Acima de 55.976.16,2959720,3406830962,5768707494,1394989345,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,6271019073,4813003992,2925530563,4957654494,2341458489,4957654494,1604548976,4973578494,4309352195,8785097159,3709220834,1175437903,1494657676,1577619429,1517814475,6113775049,6298017425,2694664911,2371344056,6354596781,7014235674,1213430857,1622664887,9284112291,3935622962,1154059223,95
2018,Completo + Simplificado,Até 22.847.76,11026712,1948185703,579392348,3867542607,6027698021,5743064103,9335658,27529826,6444863981,244117916,1164785315,1448907501,2071712967,1829293747,2341699296,824929015,2328253826,1414538173,353703437,35007,35366843,1939103012,1969829044,2869613127,2032910731,2701036103,1984160042,3849925877,2745433394,207797541,7911835966,1321100102,2482704377,7041425576,2035249554,2859574993,4007379739,2564415521,1308907411,5967650902,1507287237,95
2018,Completo + Simplificado,De 22.847.77 até 33.919.80,6851986,2570755048,30366866,8618077376,101229054,9620179244,86901218,4940360351,8696720808,4218215596,1139209704,132715618,1935020697,17455761,1860306052,34139917,2936031046,1900230786,2514391146,18115923,2514209987,5594032216,2554202926,1082322571,4537503335,8747384567,7147424837,772337588,867404673,5810247685,5126959054,90036493,2166569266,8002594459,1345422918,1796560143,1929423288,8256680526,2962361303,2021898618,2491343835,95
2018,Completo + Simplificado,De 33.919.81 até 45.012.60,3715748,1939998165,2444499388,6279576751,7983363169,7429999239,58273304,5475365997,492753662,3071504258,8825417059,1083308687,1490377109,134369444,1445370682,214560089,2185259964,1447657099,5899762596,82429717,5898938299,5677488461,5907005231,9877228348,1048392739,5068171374,5659467894,565425905,6458944698,4829981277,5648327339,1040857859,2263854756,6460422599,1095201347,1383136561,1503015477,6824564618,2474943223,1815722254,2404925562,95
2018,Completo + Simplificado,De 45.012.61 até 55.976.16,2289891,1523688332,2014535788,5438410598,6068273194,5535831681,381921976,528622293,3020864874,2237397678,6707859074,9119374593,1163550279,1047988786,1143274154,123407792,1752881782,1147301328,833927715,15060442,8337771106,5149385212,8349854873,9980873155,1436477823,3131064952,4863254585,4316905185,5435302231,4281927145,5349741435,1117257629,2148152078,5094350297,872496353,1083786411,1186503811,5599101828,2528841328,1510385336,2115290183,95
2018,Completo + Simplificado,Acima de 55.976.16,6568080,1044918607,1704219877,3546226252,5833889424,4446327743,322180889,1384339872,1083558949,9390265352,4571117141,1433167272,8610694844,7593137575,1011726744,583052503,4516375143,8525365679,1659567246,1966476354,165760077,5886151003,1658531867,158388938,1850945297,1252286079,3084198688,3882600982,4464993567,4204941852,120930809,4451765131,3292777366,3015375648,531531923,7694494929,1025975122,4389772151,1792663849,1447654933,2381411817,95
2018,Completo,Até 22.847.76,4210097,7840582406,3422870434,1899660579,6027698021,5743064103,9335658,27529826,6444863981,244117916,1164785315,1448907501,2071712967,1829293747,2341699296,824929015,125349563,4832360928,308934606,35007,308899599,1203183447,1233909478,1616942417,1357605457,1507127523,9582584179,1900902671,1333046413,1128802188,5538365189,122259808,1742207247,5794954268,1565271486,249430358,3426127189,1505178336,8017944128,403504587,9308541785,95
2018,Completo,De 22.847.77 até 33.919.80,2616176,110273.88,1420941849,3656332967,101229054,9620179244,86901218,4940360351,8696720808,4218215596,1139209704,132715618,1935020697,17455761,1860306052,34139917,125349563,7258176426,9644967526,18115923,9643155934,2883321877,9774141199,2833139579,1173712145,1973096674,2920431208,3169887743,3511181488,2610742016,4177454709,296483688,1729954946,74245722,115058195,1749854376,1864694605,3847982478,1523627787,1089138022,1079406508,95
2018,Completo,De 33.919.81 até 45.012.60,1472762,84736777,1150801166,2869586523,7983363169,7429999239,58273304,5475365997,492753662,3071504258,8825417059,1083308687,1490377109,134369444,1445370682,214560089,125349563,573552701,2337554948,82429717,2336730651,2709862879,231544246,4017252304,2830183218,1984828166,2521822012,2223327698,2889482225,215428981,46166806,418763332,1795763191,5834864624,8929253069,1347136525,1450195505,3091190475,1105065597,9139516468,1338236068,95
2018,Completo,De 45.012.61 até 55.976.16,891418,647247182,9099765536,2271743785,6068273194,5535831681,381921976,528622293,3020864874,2237397678,6707859074,9119374593,1163550279,1047988786,1143274154,123407792,125349563,4461483564,3238052334,15060442,323654629,226088699,3220291984,443823342,4058707293,1623812166,2039492992,180259189,2231820658,1787507487,4301559968,445266009,1653410958,4478239749,6794369581,1051027001,1146380315,240317869,1272779847,7092812056,1075812318,95
2018,Completo,Acima de 55.976.16,3793041,7264647827,1214406569,2320224159,5833889424,4446327743,322180889,1384339872,1083558949,9390265352,4571117141,1433167272,8610694844,7593137575,1011726744,583052503,125349563,5792464946,1197499784,1966476354,1195533307,470728175,1195306378,1186263813,1016626916,9262012624,2045742132,2403692514,3052871827,2826321678,1147012549,3868423301,3012369974,2804997826,4727560711,7628096947,1016917835,274793384,9875945236,1060182365,1534229617,95
2018,Simplificado,Até 22.847.76,6816615,1164127462,2371053046,1967882027,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,2328253826,9313020799,44768831,2321163468,44768831,7359195654,7359195654,1252670711,675305274,119390858,1025901624,1949023206,1412386981,9491732227,2373470777,1198840294,7404971303,1246471308,4699780676,3652714136,5812525499,1059237185,5071129977,1932605032,5764330589,95
2018,Simplificado,De 22.847.77 até 33.919.80,4235810,1468016248,1615744751,496174441,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,2936031046,1174413143,1549894394,2321163468,1549894394,2710710339,1576788806,7990086131,336379119,6774287893,4226993629,4553488137,5162865242,319950567,9495043454,603881242,4366143201,5780222594,194840968,4670576696,647286824,4408698049,1438733516,9327605965,1411937327,95
2018,Simplificado,De 33.919.81 até 45.012.60,2242986,1092630395,1293698222,3409990229,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,2185259964,8741043984,3562207648,2321163468,3562207648,2967625582,3591562771,5859976044,7653744174,3083343209,3137645883,3430931353,3569462473,2675691467,1031646739,622094527,4680915656,6255579755,2022760405,3600003537,528199715,3733374144,1369877626,9017706073,1066689494,95
2018,Simplificado,De 45.012.61 até 55.976.16,1398473,8764411499,1104559235,3166666813,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,1752881782,7011529718,5101224816,2321163468,5101224816,2888498222,5129562889,5542639735,1030607094,1507252787,2823761594,2514313296,3203481573,2494419658,1048181467,67199162,49474112,6161105477,193059395,3275940994,401234967,3195923138,1256061481,80110413,1039477865,95
2018,Simplificado,Acima de 55.976.16,2775039,3184538247,4898133077,1226002094,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,4516375143,2732900733,4620674625,2321163468,4620674625,1178869253,4632254887,3976255676,8343183811,3260848168,1038456556,1478908468,1412121.74,1378620174,6229554129,5833418302,2804073913,2103778218,5877585189,6639798142,905728677,1641838311,8050693255,3874725686,8471821992,95
2017,Completo + Simplificado,Até 22.847.76,10947973,1922096235,5842733498,3639244049,5954073234,5656944052,1065993671,2864692459,6480259631,2416321792,1016774362,1405700254,2120937158,1883752522,2290879985,809663727,2321163468,1404529497,339423756,21226,33940253,1887249568,191815241,1777796644,2430173653,1761816502,2445393187,5059412734,2686617525,2118445821,8057610515,1078723708,2454295724,6585818232,1824206921,293270388,3976305377,2173922718,107025736,4981427008,1568551173,95
2017,Completo + Simplificado,De 22.847.77 até 33.919.80,6736887,2531946853,300414333,7987306498,1026132626,9712580533,1016514755,538580583,9007483086,4351958695,1077639048,1311331645,1996446264,1807098856,1861949693,315243827,2867281008,1868169388,2471501374,17894704,2471322427,5260948091,2508158017,5852944648,442022335,3812825298,1065353134,7007046655,9082243662,2808398419,5517268765,788528944,2359715609,7959460308,1269728646,1851555135,1922092609,7696838789,2835040086,1909444469,2943689058,95
2017,Completo + Simplificado,De 33.919.81 até 45.012.60,3602619,1882758016,2351599835,5839900457,7899112539,7308738164,694047356,5834339021,5039363627,3163797045,8209163969,1063833746,1462392724,1317808754,1428622907,172167932,2107664623,1403614917,5720930113,74237027,5720187742,4751234218,5718592938,8317904189,100951582,366132445,6848487743,5009239526,6064796562,5124230131,5796765069,1218222463,2416314308,6418711163,1023590568,1353239402,1472962153,6166362842,2600451891,1653653728,2063433043,95
2017,Completo + Simplificado,De 45.012.61 até 55.976.16,2157260,1437046529,1895344439,4996521333,5782881374,5220293292,443499614,5581530856,3003790399,227251457,6161966734,8576966807,1128054502,1012107468,1147981511,114888372,1644107707,1080566716,7849508635,12629778,7848245657,4174211047,785103173,9346246544,1367788847,2928761315,4357698559,3917658813,5372049461,4286916132,5607500703,988707201,2250286152,4912843563,8026484366,1043168033,1182511572,4902908502,2061495554,1409624664,1928642052,95
2017,Completo + Simplificado,Acima de 55.976.16,6158444,9737603989,1668181574,3317534662,5379849303,4047278313,322819515,1329342794,1047649769,9320661253,4052735851,138290082,8213704877,7247856325,9604344112,541414058,4292102246,7946736528,1543172546,1650789981,1541521756,5706831168,1542387648,1466358287,1765427573,1155273355,4313786871,3995668348,4222452298,4432751132,116953205,2647750359,3312481741,2815416998,4735713598,7342617277,9740020727,3810500352,1834894001,1390357026,2554582297,95
2017,Completo,Até 22.847.76,4131566,7615139665,3397531801,1849149869,5954073234,5656944052,1065993671,2864692459,6480259631,2416321792,1016774362,1405700254,2120937158,1883752522,2290879985,809663727,2321163468,4760635749,310957172,21226,310935946,1153172373,1184075216,169422888,1753687318,1684141815,1440011674,3451039131,1300952391,1093226928,561599586,89368306,1760172387,5463173154,1401268647,2588528483,3433676495,1259810727,6447181548,3187108756,1031675497,95
2017,Completo,De 22.847.77 até 33.919.80,2600086,1098305636,1410375283,3436661907,1026132626,9712580533,1016514755,538580583,9007483086,4351958695,1077639048,1311331645,1996446264,1807098856,1861949693,315243827,2321163468,7212562718,9583268186,17894704,9581478716,2672239443,9691792364,2911249776,1173217819,2059392322,2905991962,306842041,327352745,2588574557,4518965752,242907921,1907023004,74626099,1087855204,1811791227,1866368371,3449152375,1152818835,1055369712,1111016035,95
2017,Completo,De 33.919.81 até 45.012.60,1440363,8289253079,1098723462,2658508159,7899112539,7308738164,694047356,5834339021,5039363627,3163797045,8209163969,1063833746,1462392724,1317808754,1428622907,172167932,2321163468,5605486714,2280524487,74237027,2279782117,2086148225,2251913844,3905625997,2756805962,1929392749,3874100258,2047680215,2608525108,2106094447,4738971214,374994759,1919797012,5833194422,8304008289,1320825444,1431838102,2628775209,966645014,8803118324,9567598701,95
2017,Completo,De 45.012.61 até 55.976.16,845389,6149924292,8526035997,2112090474,5782881374,5220293292,443499614,5581530856,3003790399,227251457,6161966734,8576966807,1128054502,1012107468,1147981511,114888372,2321163468,4229233866,3066682953,12629778,3065419975,1773900713,3044239945,4192023338,3918971921,1539680585,182733843,1573338028,2428375675,1802196772,4512330289,34156478,1721358417,4368230644,6241210757,101475556,1151050383,2042683426,932072174,656990963,7883657475,95
2017,Completo,Acima de 55.976.16,3521590,6707424369,1193142046,2149732129,5379849303,4047278313,322819515,1329342794,1047649769,9320661253,4052735851,138290082,8213704877,7247856325,9604344112,541414058,2321163468,5345767133,1102984429,1650789981,1101333639,465096833,1101150376,1086905282,9763601947,8339092591,2719538472,262270465,2872944534,3045964092,1104952716,2138270809,3007601007,2621992755,4192129322,7278603027,9658379428,252630838,1022133767,1013809252,1737303089,95
2017,Simplificado,Até 22.847.76,6816407,1160582269,2445201697,179009418,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,2321163468,9284659221,28466584,2321163468,28466584,7340771948,7340771948,835677639,676486335,7767468719,1005381514,1608373603,1385665134,1025218894,2441614655,989355402,6941233378,1122645078,4229382742,3441753969,5426288819,9141119914,425539205,1794318253,5368756759,95
2017,Simplificado,De 22.847.77 até 33.919.80,4136801,1433641217,1593768047,4550644591,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,125349563,2867281008,1146913116,1513174556,2321163468,1513174556,2588708648,153897878,2941694872,324700553,1753432976,7747539378,3938626244,5808716212,2549540963,9983030122,545621023,452692605,4968504083,1818734413,3976390767,557242384,4247686414,1682221251,8540747568,1832673024,95
